timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081286.185,31.738,35.156,28.809,50.293,105.469
1568081286.189,58.105,31.250,28.320,6.836,61.523
1568081286.192,56.641,31.250,29.297,11.230,43.945
1568081286.196,37.109,33.203,31.738,59.570,76.660
1568081286.200,29.785,35.156,34.180,64.941,54.199
1568081286.204,48.340,38.574,34.180,18.555,5.371
1568081286.208,61.523,40.527,35.645,10.254,-1.953
1568081286.212,35.645,38.086,34.180,50.781,-4.395
1568081286.216,19.043,37.109,28.320,67.871,-18.555
1568081286.220,40.039,39.062,26.367,27.344,16.113
1568081286.224,55.176,40.039,26.855,-1.465,62.012
1568081286.228,45.898,38.574,34.180,43.457,19.043
1568081286.232,33.691,39.551,41.504,80.078,-11.230
1568081286.235,43.945,40.039,43.945,49.805,54.199
1568081286.239,62.988,35.645,41.504,12.207,78.613
1568081286.243,45.898,31.250,34.668,25.391,30.762
1568081286.247,24.902,33.203,32.715,73.730,4.883
1568081286.251,32.715,37.598,33.691,70.312,28.320
1568081286.255,54.199,37.598,31.250,17.578,38.086
1568081286.259,54.199,36.133,28.320,10.254,41.992
1568081286.263,28.320,38.086,33.691,54.688,44.922
1568081286.267,19.043,38.086,37.109,64.453,12.207
1568081286.271,34.668,32.715,33.691,13.672,14.160
1568081286.274,42.969,28.809,31.738,-7.812,14.648
1568081286.278,25.879,29.297,35.645,34.668,34.180
1568081286.282,15.625,31.250,35.645,63.477,47.852
1568081286.286,34.180,33.691,33.203,26.855,43.945
1568081286.290,54.199,38.574,30.273,-3.906,79.102
1568081286.294,41.504,44.434,34.668,27.832,47.363
1568081286.298,20.508,40.039,41.504,63.477,9.277
1568081286.302,31.250,32.227,32.715,43.457,48.340
1568081286.306,56.152,31.738,20.996,-0.977,-0.977
1568081286.310,45.898,31.738,20.508,6.836,-34.180
1568081286.314,20.996,27.832,26.367,54.199,8.789
1568081286.317,23.438,27.344,30.762,56.641,40.527
1568081286.321,53.711,29.785,31.738,15.625,53.711
1568081286.325,60.547,33.203,37.109,12.207,35.645
1568081286.329,25.879,34.180,41.992,55.664,61.035
1568081286.333,18.066,31.250,40.527,76.172,34.180
1568081286.337,46.387,31.738,36.621,33.691,-20.996
1568081286.341,58.594,31.738,31.738,1.953,57.129
1568081286.345,32.715,26.855,33.691,41.992,69.824
1568081286.349,14.648,30.273,38.086,74.219,34.180
1568081286.353,32.227,34.180,35.645,33.691,16.113
1568081286.357,50.293,29.785,35.645,-4.395,2.441
1568081286.360,37.109,28.809,37.598,21.484,46.387
1568081286.364,17.090,23.926,37.109,63.477,34.180
1568081286.368,25.391,20.996,33.691,51.270,38.574
1568081286.372,47.852,22.949,30.762,4.883,31.250
1568081286.376,45.410,22.461,33.203,11.719,-12.695
1568081286.380,19.531,21.973,34.180,58.594,-5.859
1568081286.384,5.859,23.438,33.203,56.641,14.160
1568081286.388,29.785,25.391,35.645,12.695,30.273
1568081286.392,39.551,24.414,32.715,2.930,63.477
1568081286.396,13.184,26.367,26.855,43.945,45.410
1568081286.399,4.395,27.832,26.855,63.477,34.180
1568081286.403,31.250,27.344,26.367,18.555,35.645
1568081286.407,46.387,27.832,28.809,-2.441,0.488
1568081286.411,29.785,29.297,31.738,38.086,-3.418
1568081286.415,13.184,28.320,24.902,65.430,8.789
1568081286.419,23.926,25.391,23.438,31.738,59.082
1568081286.423,46.387,30.273,26.855,-6.836,78.613
1568081286.427,37.598,35.645,26.367,15.625,5.371
1568081286.431,12.695,32.227,24.414,56.152,2.441
1568081286.435,10.254,27.832,24.414,46.387,47.363
1568081286.439,33.203,22.461,26.367,5.859,2.441
1568081286.442,35.645,21.484,31.250,5.371,12.207
1568081286.446,13.672,27.344,36.133,47.852,58.594
1568081286.450,17.578,28.320,34.668,62.988,62.988
1568081286.454,44.434,25.879,28.809,17.578,42.969
1568081286.458,52.734,23.926,23.438,-4.395,-3.906
1568081286.462,36.133,29.297,28.809,42.480,20.508
1568081286.466,25.391,32.227,32.715,70.801,7.812
1568081286.470,40.527,29.785,25.879,29.785,-14.160
1568081286.474,56.152,30.273,23.926,0.488,-2.930
1568081286.478,32.715,25.391,21.973,23.926,-6.836
1568081286.482,7.324,20.996,18.555,52.734,0.000
1568081286.485,18.066,24.902,20.508,30.273,59.082
1568081286.489,33.691,27.832,23.926,-12.695,14.648
1568081286.493,22.461,27.344,26.367,2.441,-9.277
1568081286.497,6.836,28.809,25.879,48.340,49.316
1568081286.501,8.789,31.250,24.902,42.969,12.207
1568081286.505,25.391,31.250,21.484,-5.859,16.602
1568081286.509,27.344,25.879,22.949,-6.348,15.625
1568081286.513,8.789,20.020,31.738,41.504,31.738
1568081286.517,-1.953,19.043,31.250,57.617,74.219
1568081286.521,13.184,14.648,27.344,13.672,60.547
1568081286.524,24.902,13.184,26.367,-7.324,-15.625
1568081286.528,6.836,13.672,29.297,32.715,-0.488
1568081286.532,-2.930,13.184,31.738,62.012,40.527
1568081286.536,18.066,11.230,27.344,27.832,-14.160
1568081286.540,37.109,12.207,27.344,-3.418,10.254
1568081286.544,22.949,15.625,26.855,23.438,63.477
1568081286.548,0.488,17.578,26.855,53.223,29.297
1568081286.552,15.625,19.531,26.855,39.062,-0.488
1568081286.556,46.875,18.555,29.297,-0.488,3.906
1568081286.560,38.574,19.531,37.598,4.395,34.180
1568081286.564,17.090,20.508,42.969,54.199,64.941
1568081286.567,23.438,23.926,39.551,62.500,14.160
1568081286.571,41.992,23.926,30.762,11.719,7.812
1568081286.575,39.062,23.926,22.949,-7.324,73.242
1568081286.579,13.184,28.320,24.902,32.227,31.738
1568081286.583,7.324,30.273,25.391,54.688,-8.789
1568081286.587,29.785,29.785,20.508,11.230,47.852
1568081286.591,38.086,33.691,23.438,-16.113,63.965
1568081286.595,17.090,36.133,28.809,20.508,80.078
1568081286.599,0.977,31.250,30.273,50.781,36.621
1568081286.603,11.230,31.250,29.785,19.531,24.414
1568081286.607,25.391,29.297,25.391,-17.090,36.133
1568081286.610,16.602,26.367,26.367,9.277,45.898
1568081286.614,0.977,29.297,29.785,50.781,89.844
1568081286.618,10.254,30.273,29.297,42.480,65.918
1568081286.622,35.156,30.762,24.902,5.859,41.504
1568081286.626,41.016,32.227,28.320,16.113,-12.695
